target_type,target_id,user_id,content,like_count,status,created_at,parent_id
course,1,1,course#1 评论 1：节奏刚好，建议再补充一点练习题。,2,normal,2026-01-26T10:48:13.282Z,
course,1,2,course#1 评论 2：课程结构清晰，学习路线明了。,7,normal,2026-01-27T10:48:13.282Z,
course,1,3,course#1 评论 3：课程结构清晰，学习路线明了。,2,normal,2026-01-29T10:48:13.282Z,
course,1,4,course#1 评论 4：实例讲解很实用，收藏了。,0,normal,2026-01-29T10:48:13.282Z,
course,1,5,course#1 评论 5：案例很贴近实际，学完能直接上手。,0,normal,2026-01-30T10:48:13.282Z,
course,1,6,course#1 评论 6：节奏刚好，建议再补充一点练习题。,4,normal,2026-01-28T10:48:13.282Z,
course,2,1,course#2 评论 1：实例讲解很实用，收藏了。,6,normal,2026-01-25T10:48:13.282Z,
course,2,2,course#2 评论 2：这节课讲得很清楚，重点很明确。,6,normal,2026-01-23T10:48:13.282Z,
course,2,3,course#2 评论 3：实例讲解很实用，收藏了。,1,normal,2026-01-24T10:48:13.282Z,
course,2,4,course#2 评论 4：希望后续更新更多进阶内容。,6,normal,2026-01-26T10:48:13.282Z,
course,2,5,course#2 评论 5：这节课讲得很清楚，重点很明确。,3,normal,2026-01-27T10:48:13.282Z,
course,2,6,course#2 评论 6：希望后续更新更多进阶内容。,5,normal,2026-01-23T10:48:13.282Z,
course,3,1,course#3 评论 1：节奏刚好，建议再补充一点练习题。,7,normal,2026-01-25T10:48:13.282Z,
course,3,2,course#3 评论 2：节奏刚好，建议再补充一点练习题。,3,normal,2026-01-30T10:48:13.282Z,
course,3,3,course#3 评论 3：重点知识点总结得不错，复习方便。,7,normal,2026-01-23T10:48:13.282Z,
course,3,4,course#3 评论 4：讲师讲解很细，适合零基础。,1,normal,2026-02-01T10:48:13.282Z,
course,3,5,course#3 评论 5：希望后续更新更多进阶内容。,0,normal,2026-01-26T10:48:13.282Z,
course,3,6,course#3 评论 6：节奏刚好，建议再补充一点练习题。,4,normal,2026-01-22T10:48:13.282Z,
course,4,1,course#4 评论 1：希望后续更新更多进阶内容。,3,normal,2026-01-23T10:48:13.282Z,
course,4,2,course#4 评论 2：课程结构清晰，学习路线明了。,0,normal,2026-01-31T10:48:13.282Z,
course,4,3,course#4 评论 3：这节课讲得很清楚，重点很明确。,2,normal,2026-01-25T10:48:13.282Z,
course,4,4,course#4 评论 4：课程结构清晰，学习路线明了。,6,normal,2026-01-25T10:48:13.282Z,
course,4,5,course#4 评论 5：重点知识点总结得不错，复习方便。,4,normal,2026-02-01T10:48:13.282Z,
course,4,6,course#4 评论 6：课程结构清晰，学习路线明了。,7,normal,2026-01-23T10:48:13.282Z,
course,5,1,course#5 评论 1：内容有深度但不晦涩，体验很好。,6,normal,2026-02-02T10:48:13.282Z,
